"OBJECTID","RUN","TRENCH_ARE","TRENCH_P","ROTATION","MID_X","MID_Y","F_INT","A_INT","F_INT_P","A_INT_P"
1,1,490.2,0.1,57,120299,188559,81,36.4,18,11.9
2,2,517.2,0.1,17,120291,188567,58,18.7,12.9,6.1
3,3,454,0.1,156,120292,188543,57,29,12.7,9.5
4,4,504.2,0.1,6,120296,188564,63,24.9,14,8.2
5,5,484.8,0.1,138,120295,188552,82,28.2,18.3,9.2
6,6,487.3,0.1,169,120297,188524,52,26.5,11.6,8.7
7,7,512.4,0.1,20,120290,188547,62,32.3,13.8,10.6
8,8,510.6,0.1,117,120286,188557,81,25.7,18,8.4
9,9,486.8,0.1,178,120283,188537,68,35.3,15.1,11.5
10,10,490.7,0.1,135,120285,188520,58,34.8,12.9,11.4
11,11,489.2,0.1,48,120290,188521,79,32.6,17.6,10.7
12,12,492,0.1,51,120282,188541,82,29,18.3,9.5
13,13,465.8,0.1,150,120289,188528,68,27.8,15.1,9.1
14,14,520.6,0.1,159,120283,188523,78,45,17.4,14.7
15,15,443.9,0.1,73,120295,188555,65,23.3,14.5,7.6
16,16,467,0.1,161,120292,188558,56,29,12.5,9.5
17,17,501.8,0.1,70,120283,188529,58,37.3,12.9,12.2
18,18,495.6,0.1,14,120286,188528,97,43.8,21.6,14.3
19,19,499.1,0.1,9,120292,188559,80,38.9,17.8,12.7
20,20,483.6,0.1,78,120294,188552,88,22.5,19.6,7.4
21,21,502.1,0.1,146,120284,188549,73,29.6,16.3,9.7
22,22,494.7,0.1,103,120296,188559,63,24.8,14,8.1
23,23,470.3,0.1,147,120294,188551,64,21.1,14.3,6.9
24,24,508.3,0.1,69,120290,188559,51,20.2,11.4,6.6
25,25,472.1,0.1,55,120298,188545,42,29.1,9.4,9.5
26,26,454,0.1,70,120289,188520,71,30.1,15.8,9.8
27,27,463.5,0.1,22,120284,188546,45,19.4,10,6.4
28,28,494.4,0.1,122,120289,188553,77,27.6,17.1,9.1
29,29,487.7,0.1,126,120282,188556,84,32.8,18.7,10.7
30,30,465.6,0.1,27,120284,188545,47,21.3,10.5,7
31,31,480.9,0.1,161,120295,188560,65,29.5,14.5,9.7
32,32,460.5,0.1,164,120289,188554,57,30.3,12.7,9.9
33,33,422.4,0.1,114,120299,188526,77,47.2,17.1,15.4
34,34,486.8,0.1,32,120300,188527,72,37.3,16,12.2
35,35,454.5,0.1,110,120288,188566,51,36.4,11.4,11.9
36,36,474.5,0.1,12,120282,188535,66,31.7,14.7,10.4
37,37,517,0.1,68,120297,188541,58,24.7,12.9,8.1
38,38,469.5,0.1,104,120290,188524,65,42.3,14.5,13.9
39,39,473.1,0.1,152,120288,188536,71,36.5,15.8,12
40,40,484.2,0.1,104,120283,188549,75,28.9,16.7,9.5
41,41,493.7,0.1,133,120296,188569,47,18.9,10.5,6.2
42,42,467.3,0.1,17,120300,188562,67,33.6,14.9,11
43,43,521.6,0.1,61,120293,188545,54,22.4,12,7.3
44,44,487.4,0.1,135,120283,188541,67,29.6,14.9,9.7
45,45,485.9,0.1,161,120287,188527,56,31.8,12.5,10.4
46,46,506.4,0.1,36,120289,188549,74,31,16.5,10.2
47,47,501,0.1,36,120299,188520,78,34.2,17.4,11.2
48,48,504,0.1,40,120292,188540,66,23.5,14.7,7.7
49,49,489.1,0.1,56,120283,188533,43,24.6,9.6,8.1
50,50,480.7,0.1,8,120287,188556,70,25.4,15.6,8.3
51,51,559.4,0.1,113,120298,188554,67,24.7,14.9,8.1
52,52,486.7,0.1,178,120294,188535,63,31.5,14,10.3
53,53,520.5,0.1,19,120291,188568,54,21.7,12,7.1
54,54,515,0.1,153,120301,188569,72,37.7,16,12.3
55,55,499.2,0.1,125,120296,188533,68,26.1,15.1,8.6
56,56,509.2,0.1,127,120292,188565,44,13.6,9.8,4.4
57,57,474.2,0.1,50,120284,188548,48,42.1,10.7,13.8
58,58,507.7,0.1,30,120297,188520,68,24.1,15.1,7.9
59,59,507,0.1,164,120298,188542,82,34.3,18.3,11.2
60,60,499.3,0.1,32,120299,188522,94,35,20.9,11.4
61,61,481.2,0.1,53,120287,188569,49,31.4,10.9,10.3
62,62,475.2,0.1,120,120288,188527,49,27.5,10.9,9
63,63,486.7,0.1,2,120289,188565,61,24.8,13.6,8.1
64,64,483.2,0.1,169,120290,188543,71,34.7,15.8,11.4
65,65,518.4,0.1,82,120297,188557,49,18,10.9,5.9
66,66,517.1,0.1,76,120294,188528,60,38.8,13.4,12.7
67,67,526.7,0.1,160,120301,188564,58,29.2,12.9,9.6
68,68,483.8,0.1,65,120296,188539,62,18.8,13.8,6.2
69,69,489.7,0.1,48,120294,188528,52,33.6,11.6,11
70,70,529,0.1,20,120290,188537,64,21.7,14.3,7.1
71,71,497.8,0.1,139,120285,188544,75,37.1,16.7,12.2
72,72,460.7,0.1,94,120289,188555,53,24.7,11.8,8.1
73,73,507.4,0.1,56,120289,188554,68,25.4,15.1,8.3
74,74,548,0.1,68,120281,188561,34,13.2,7.6,4.3
75,75,429.9,0.1,67,120285,188534,71,37.6,15.8,12.3
76,76,488.5,0.1,176,120290,188558,71,31.4,15.8,10.3
77,77,515.1,0.1,82,120294,188556,47,20.8,10.5,6.8
78,78,491,0.1,84,120284,188549,67,22.7,14.9,7.4
79,79,469.2,0.1,149,120291,188533,59,26,13.1,8.5
80,80,490.3,0.1,38,120296,188548,90,30.5,20,10
81,81,488.5,0.1,91,120286,188566,80,33,17.8,10.8
82,82,450.3,0.1,25,120283,188537,68,28.7,15.1,9.4
83,83,469.5,0.1,114,120299,188567,57,23.8,12.7,7.8
84,84,492.7,0.1,8,120283,188568,75,35,16.7,11.5
85,85,502,0.1,104,120292,188557,55,26.1,12.2,8.5
86,86,521.8,0.1,22,120290,188527,96,45.7,21.4,15
87,87,493,0.1,169,120290,188523,71,35.7,15.8,11.7
88,88,474.5,0.1,55,120290,188561,57,33.3,12.7,10.9
89,89,507.1,0.1,156,120297,188531,59,34.1,13.1,11.2
90,90,495.5,0.1,168,120287,188541,89,32.6,19.8,10.7
91,91,512.8,0.1,76,120288,188542,85,31.1,18.9,10.2
92,92,487.5,0.1,4,120290,188559,70,31.4,15.6,10.3
93,93,535.1,0.1,65,120294,188542,58,23.6,12.9,7.7
94,94,434.8,0.1,70,120287,188534,97,34.5,21.6,11.3
95,95,439.2,0.1,73,120289,188553,75,28.6,16.7,9.4
96,96,493.3,0.1,122,120281,188545,55,25.8,12.2,8.4
97,97,516.5,0.1,10,120288,188526,93,42.7,20.7,14
98,98,494.7,0.1,33,120288,188543,69,35.4,15.4,11.6
99,99,494.1,0.1,122,120298,188543,67,22.7,14.9,7.4
100,100,479.3,0.1,43,120294,188557,89,35.4,19.8,11.6
101,101,495.7,0.1,117,120299,188569,56,26.6,12.5,8.7
