OBJECTID,RUN,TRENCH_ARE,TRENCH_P,ROTATION,MID_X,MID_Y,F_INT,A_INT,F_INT_P,A_INT_P
1.0,1.0,490.2,0.1,57.0,120299.0,188559.0,81.0,36.4,18.0,11.9
2.0,2.0,517.2,0.1,17.0,120291.0,188567.0,58.0,18.7,12.9,6.1
3.0,3.0,454.0,0.1,156.0,120292.0,188543.0,57.0,29.0,12.7,9.5
4.0,4.0,504.2,0.1,6.0,120296.0,188564.0,63.0,24.9,14.0,8.2
5.0,5.0,484.8,0.1,138.0,120295.0,188552.0,82.0,28.2,18.3,9.2
6.0,6.0,487.3,0.1,169.0,120297.0,188524.0,52.0,26.5,11.6,8.7
7.0,7.0,512.4,0.1,20.0,120290.0,188547.0,62.0,32.3,13.8,10.6
8.0,8.0,510.6,0.1,117.0,120286.0,188557.0,81.0,25.7,18.0,8.4
9.0,9.0,486.8,0.1,178.0,120283.0,188537.0,68.0,35.3,15.1,11.5
10.0,10.0,490.7,0.1,135.0,120285.0,188520.0,58.0,34.8,12.9,11.4
11.0,11.0,489.2,0.1,48.0,120290.0,188521.0,79.0,32.6,17.6,10.7
12.0,12.0,492.0,0.1,51.0,120282.0,188541.0,82.0,29.0,18.3,9.5
13.0,13.0,465.8,0.1,150.0,120289.0,188528.0,68.0,27.8,15.1,9.1
14.0,14.0,520.6,0.1,159.0,120283.0,188523.0,78.0,45.0,17.4,14.7
15.0,15.0,443.9,0.1,73.0,120295.0,188555.0,65.0,23.3,14.5,7.6
16.0,16.0,467.0,0.1,161.0,120292.0,188558.0,56.0,29.0,12.5,9.5
17.0,17.0,501.8,0.1,70.0,120283.0,188529.0,58.0,37.3,12.9,12.2
18.0,18.0,495.6,0.1,14.0,120286.0,188528.0,97.0,43.8,21.6,14.3
19.0,19.0,499.1,0.1,9.0,120292.0,188559.0,80.0,38.9,17.8,12.7
20.0,20.0,483.6,0.1,78.0,120294.0,188552.0,88.0,22.5,19.6,7.4
21.0,21.0,502.1,0.1,146.0,120284.0,188549.0,73.0,29.6,16.3,9.7
22.0,22.0,494.7,0.1,103.0,120296.0,188559.0,63.0,24.8,14.0,8.1
23.0,23.0,470.3,0.1,147.0,120294.0,188551.0,64.0,21.1,14.3,6.9
