RUN,TRENCH_ARE,TRENCH_P,ROTATION,MID_X,MID_Y,F_INT,A_INT,F_INT_P,A_INT_P,S_FEAT,S_AREA
1,41359.10000000000,0.09997490000,21.18370000000,85536.10000000000,200701.00000000000,692,3825.45000000000,20.38890000000,10.09060000000,3394,37911.1075936
2,41373.40000000000,0.10001000000,66.55330000000,85531.50000000000,200720.00000000000,622,3725.97000000000,18.32650000000,9.82817000000,3395,37912.1075936
3,41369.70000000000,0.10000100000,82.92430000000,85537.20000000000,200693.00000000000,705,3801.49000000000,20.77190000000,10.02740000000,3396,37913.1075936
4,41351.80000000000,0.09995750000,173.76500000000,85540.90000000000,200680.00000000000,684,3702.50000000000,20.15320000000,9.76627000000,3397,37914.1075936
5,41374.70000000000,0.10001300000,96.18390000000,85541.70000000000,200673.00000000000,673,3668.07000000000,19.82910000000,9.67544000000,3398,37915.1075936
6,41261.00000000000,0.09973800000,97.82610000000,85543.30000000000,200701.00000000000,694,3834.81000000000,20.44780000000,10.11530000000,3399,37916.1075936
7,41305.90000000000,0.09984640000,39.40020000000,85547.30000000000,200716.00000000000,699,3896.96000000000,20.59520000000,10.27920000000,3400,37917.1075936
8,41362.80000000000,0.09998400000,40.60210000000,85533.50000000000,200681.00000000000,719,3765.35000000000,21.18440000000,9.93205000000,3401,37918.1075936
9,41365.20000000000,0.09998970000,165.74700000000,85547.30000000000,200696.00000000000,701,3887.24000000000,20.65410000000,10.25360000000,3402,37919.1075936
10,41378.00000000000,0.10002100000,172.57800000000,85532.50000000000,200719.00000000000,708,3673.04000000000,20.86030000000,9.68855000000,3403,37920.1075936
11,41365.40000000000,0.09999030000,43.17880000000,85542.40000000000,200672.00000000000,614,3848.17000000000,18.09070000000,10.15050000000,3404,37921.1075936
12,41388.90000000000,0.10004700000,109.18500000000,85531.10000000000,200700.00000000000,704,3782.35000000000,20.74250000000,9.97690000000,3405,37922.1075936
13,41354.80000000000,0.09996450000,58.22950000000,85541.50000000000,200678.00000000000,677,3895.18000000000,19.94700000000,10.27450000000,3406,37923.1075936
14,41365.80000000000,0.09999110000,108.64800000000,85545.90000000000,200697.00000000000,690,3978.17000000000,20.33000000000,10.49340000000,3407,37924.1075936
15,41372.20000000000,0.10000700000,100.93200000000,85536.60000000000,200709.00000000000,684,3886.35000000000,20.15320000000,10.25120000000,3408,37925.1075936
16,41361.40000000000,0.09998050000,78.62400000000,85545.40000000000,200714.00000000000,685,3787.42000000000,20.18270000000,9.99025000000,3409,37926.1075936
17,41373.50000000000,0.10001000000,152.98700000000,85534.40000000000,200712.00000000000,661,3689.55000000000,19.47550000000,9.73211000000,3410,37927.1075936
18,41366.00000000000,0.09999170000,46.62420000000,85541.40000000000,200698.00000000000,683,4023.60000000000,20.12370000000,10.61320000000,3411,37928.1075936
19,41360.00000000000,0.09997720000,175.85600000000,85541.40000000000,200718.00000000000,687,3550.10000000000,20.24160000000,9.36428000000,3412,37929.1075936
20,41188.30000000000,0.09956200000,111.15500000000,85531.80000000000,200677.00000000000,692,3605.88000000000,20.38890000000,9.51140000000,3413,37930.1075936
21,41367.80000000000,0.09999600000,34.29780000000,85538.60000000000,200686.00000000000,643,3904.49000000000,18.94520000000,10.29910000000,3414,37931.1075936
22,41369.80000000000,0.10000100000,8.61511000000,85537.70000000000,200722.00000000000,654,3852.74000000000,19.26930000000,10.16250000000,3415,37932.1075936
23,41365.30000000000,0.09999000000,60.94480000000,85531.60000000000,200699.00000000000,661,3710.89000000000,19.47550000000,9.78840000000,3416,37933.1075936
24,41371.80000000000,0.10000600000,49.21990000000,85532.40000000000,200716.00000000000,619,3876.04000000000,18.23810000000,10.22400000000,3417,37934.1075936
25,41369.40000000000,0.09999980000,137.36200000000,85538.60000000000,200681.00000000000,636,3751.21000000000,18.73900000000,9.89476000000,3418,37935.1075936
26,41370.20000000000,0.10000200000,12.78670000000,85532.80000000000,200717.00000000000,644,3874.04000000000,18.97470000000,10.21880000000,3419,37936.1075936
27,41361.80000000000,0.09998140000,103.33400000000,85542.40000000000,200677.00000000000,684,3739.83000000000,20.15320000000,9.86472000000,3420,37937.1075936
28,41270.30000000000,0.09976040000,179.62400000000,85535.20000000000,200690.00000000000,742,3912.29000000000,21.86210000000,10.31960000000,3421,37938.1075936
29,41345.50000000000,0.09994200000,176.74700000000,85546.50000000000,200701.00000000000,708,3499.94000000000,20.86030000000,9.23196000000,3422,37939.1075936
30,41386.10000000000,0.10004000000,114.67800000000,85544.00000000000,200677.00000000000,699,3793.59000000000,20.59520000000,10.00650000000,3423,37940.1075936
31,41345.20000000000,0.09994150000,122.01500000000,85541.00000000000,200688.00000000000,764,3792.05000000000,22.51030000000,10.00250000000,3424,37941.1075936
32,41357.10000000000,0.09997020000,44.16360000000,85535.00000000000,200706.00000000000,626,3918.99000000000,18.44430000000,10.33730000000,3425,37942.1075936
33,41365.50000000000,0.09999050000,148.06300000000,85545.40000000000,200701.00000000000,677,3938.15000000000,19.94700000000,10.38780000000,3426,37943.1075936
34,41379.50000000000,0.10002400000,3.75026000000,85536.70000000000,200701.00000000000,710,3551.90000000000,20.91930000000,9.36903000000,3427,37944.1075936
35,41376.80000000000,0.10001800000,117.22900000000,85548.10000000000,200716.00000000000,686,3758.70000000000,20.21210000000,9.91451000000,3428,37945.1075936
36,41555.60000000000,0.10045000000,157.24300000000,85531.10000000000,200706.00000000000,717,3909.86000000000,21.12550000000,10.31320000000,3429,37946.1075936
37,41360.60000000000,0.09997860000,62.37940000000,85532.40000000000,200702.00000000000,601,3734.06000000000,17.70770000000,9.84952000000,3430,37947.1075936
38,41397.20000000000,0.10006700000,172.76800000000,85536.30000000000,200716.00000000000,678,3913.30000000000,19.97640000000,10.32230000000,3431,37948.1075936
39,41366.10000000000,0.09999190000,99.27870000000,85544.20000000000,200687.00000000000,685,3885.52000000000,20.18270000000,10.24900000000,3432,37949.1075936
40,41336.70000000000,0.09992080000,1.65919000000,85550.70000000000,200692.00000000000,711,4002.43000000000,20.94870000000,10.55740000000,3433,37950.1075936
